day,date,time,activity_title,type,location,latitude,longitude,duration,description,notes
1,2026-03-03,08:00,Check-in at Hotel,hotel,The Oberoi Grand - 15 Jawaharlal Nehru Rd Kolkata,22.5568,88.3534,60 min,Luxury heritage hotel in the heart of Kolkata,Book in advance; central location near Park Street
1,2026-03-03,09:30,Breakfast at Flurys,restaurant,Flurys - 18 Park Street Kolkata,22.5516,88.3522,45 min,Iconic 1927 Swiss confectionery; best breakfast in Kolkata,Try multigrain toast and scrambled eggs
1,2026-03-03,11:00,Victoria Memorial,attraction,Victoria Memorial Hall Queens Way Kolkata,22.5448,88.3426,120 min,Magnificent marble monument to Queen Victoria with museum inside,Entry ~Rs 30 Indians; Rs 500 foreigners; closed Mondays
1,2026-03-03,13:30,Lunch at Mocambo,restaurant,Mocambo - 25B Park Street Kolkata,22.5516,88.3522,60 min,Classic Continental restaurant est. 1956; institution of Kolkata dining,Must try devilled crab and prawn cocktail
1,2026-03-03,15:00,Eden Gardens Cricket Stadium,attraction,Eden Gardens Stadium Kolkata,22.5647,88.3433,60 min,Iconic cricket ground and national heritage stadium; seats 66000,Check match schedule for live games
1,2026-03-03,16:30,Prinsep Ghat Riverside Walk,attraction,Prinsep Ghat Strand Road South Kolkata,22.5436,88.3356,60 min,Scenic colonial arch and riverside promenade on the Hooghly,Golden hour is stunning; popular local hangout
1,2026-03-03,20:00,Dinner at Peter Cat,restaurant,Peter Cat - 18A Park Street Kolkata,22.5516,88.3522,90 min,Kolkata institution famous for Chelo Kebab since 1975,Reservation recommended; long queues without booking
2,2026-03-04,08:30,Breakfast at hotel,restaurant,The Oberoi Grand Kolkata,22.5568,88.3534,45 min,Buffet breakfast at the hotel restaurant,
2,2026-03-04,10:00,Indian Museum,attraction,Indian Museum - 27 Jawaharlal Nehru Rd Kolkata,22.5579,88.3527,150 min,Oldest and largest museum in India established 1814; fossils art mummies,Closed Mondays; entry Rs 30; arrive early to avoid crowds
2,2026-03-04,12:30,Kumartuli Potters Quarter,attraction,Kumartuli Shyambazar North Kolkata,22.5998,88.3639,90 min,Traditional lane of idol makers; clay artisans crafting Durga Kali idols,Most active pre-festival; free to wander lanes
